 TESTING TRANPOSE TYPE 326514
 Hirata Reference =    2.948184     seconds
 Algorithm         Jeff           Speedup          Best
     329 Loop 561324      1.89612     1.55485     0.93207     3.16306
     330 Loop 651324      3.61621     0.81527     0.93207     3.16306
     331 Loop 451623      6.42444     0.45890     0.93207     3.16306
     332 Loop 461523      7.61243     0.38729     0.93207     3.16306
     333 Loop 541623      2.96417     0.99461     0.93207     3.16306
     334 Loop 641523      5.65234     0.52159     0.93207     3.16306
     335 Loop 561423      2.98022     0.98925     0.93207     3.16306
     336 Loop 651423      4.31628     0.68304     0.93207     3.16306
     337 Loop 341562      2.10815     1.39847     0.93207     3.16306
     338 Loop 341652      1.93213     1.52587     0.93207     3.16306
     339 Loop 351462      1.76807     1.66746     0.93207     3.16306
     340 Loop 361452      1.92810     1.52906     0.93207     3.16306
     341 Loop 351642      1.20007     2.45667     0.93207     3.16306
     342 Loop 361542      1.79608     1.64145     0.93207     3.16306
     343 Loop 431562      6.05243     0.48711     0.93207     3.16306
     344 Loop 431652      6.07239     0.48551     0.93207     3.16306
     345 Loop 531462      2.04016     1.44507     0.93207     3.16306
     346 Loop 631452      4.33624     0.67989     0.93207     3.16306
     347 Loop 531642      1.30811     2.25378     0.93207     3.16306
     348 Loop 631542      4.04425     0.72898     0.93207     3.16306
     349 Loop 451362      6.31641     0.46675     0.93207     3.16306
     350 Loop 461352      7.64050     0.38586     0.93207     3.16306
     351 Loop 541362      2.64020     1.11665     0.93207     3.16306
     352 Loop 641352      5.54834     0.53136     0.93207     3.16306
     353 Loop 561342      2.31616     1.27287     0.93207     3.16306
     354 Loop 651342      4.24823     0.69398     0.93207     3.16306
     355 Loop 451632      6.40845     0.46005     0.93207     3.16306
     356 Loop 461532      7.81250     0.37737     0.93207     3.16306
     357 Loop 541632      2.84814     1.03512     0.93207     3.16306
     358 Loop 641532      5.87634     0.50170     0.93207     3.16306
     359 Loop 561432      2.99219     0.98529     0.93207     3.16306
     360 Loop 651432      4.48425     0.65745     0.93207     3.16306
     361 Loop 234156      1.27203     2.31769     0.93207     3.16306
     362 Loop 234165      1.42407     2.07025     0.93207     3.16306
     363 Loop 235146      0.87207     3.38067     0.87207     3.38067
     364 Loop 236145      1.30017     2.26754     0.87207     3.38067
     365 Loop 235164      1.14417     2.57671     0.87207     3.38067
     366 Loop 236154      1.13208     2.60422     0.87207     3.38067
     367 Loop 243156      1.55212     1.89945     0.87207     3.38067
     368 Loop 243165      1.58008     1.86585     0.87207     3.38067
     369 Loop 253146      1.05615     2.79144     0.87207     3.38067
     370 Loop 263145      1.66809     1.76740     0.87207     3.38067
     371 Loop 253164      1.10010     2.67993     0.87207     3.38067
     372 Loop 263154      1.55615     1.89453     0.87207     3.38067
     373 Loop 245136      1.61206     1.82883     0.87207     3.38067
     374 Loop 246135      1.95618     1.50712     0.87207     3.38067
     375 Loop 254136      1.36804     2.15504     0.87207     3.38067
     376 Loop 264135      2.16406     1.36234     0.87207     3.38067
     377 Loop 256134      1.13611     2.59498     0.87207     3.38067
     378 Loop 265134      1.63611     1.80195     0.87207     3.38067
     379 Loop 245163      1.77612     1.65990     0.87207     3.38067
     380 Loop 246153      1.91211     1.54185     0.87207     3.38067
     381 Loop 254163      1.56018     1.88964     0.87207     3.38067
     382 Loop 264153      2.34412     1.25770     0.87207     3.38067
     383 Loop 256143      1.68005     1.75482     0.87207     3.38067
     384 Loop 265143      2.26807     1.29987     0.87207     3.38067
     385 Loop 324156      1.12805     2.61352     0.87207     3.38067
     386 Loop 324165      1.45605     2.02478     0.87207     3.38067
     387 Loop 325146      0.96814     3.04521     0.87207     3.38067
     388 Loop 326145      1.27209     2.31758     0.87207     3.38067
     389 Loop 325164      0.98804     2.98388     0.87207     3.38067
     390 Loop 326154      1.13599     2.59526     0.87207     3.38067
     391 Loop 423156      5.92444     0.49763     0.87207     3.38067
