jeff@goldstone:~/code/spaghetty/trunk/python/archive/exe> transpose_632541.x
 TESTING TRANPOSE TYPE 632541
 Hirata Reference =    2.248140     seconds
 Algorithm         Jeff           Speedup          Best
     227 Loop 462153      1.95209     1.15166     1.18005     1.90512
     228 Loop 162453      6.75244     0.33294     1.18005     1.90512
     229 Loop 564213      2.18817     1.02741     1.18005     1.90512
     230 Loop 561243      2.21619     1.01442     1.18005     1.90512
     231 Loop 465213      2.12408     1.05840     1.18005     1.90512
     232 Loop 165243      6.87640     0.32694     1.18005     1.90512
     233 Loop 461253      2.19214     1.02555     1.18005     1.90512
     234 Loop 164253      6.79639     0.33078     1.18005     1.90512
     235 Loop 564123      2.64014     0.85152     1.18005     1.90512
     236 Loop 561423      2.70819     0.83013     1.18005     1.90512
     237 Loop 465123      2.57617     0.87267     1.18005     1.90512
     238 Loop 165423      6.95239     0.32336     1.18005     1.90512
     239 Loop 461523      2.61615     0.85933     1.18005     1.90512
     240 Loop 164523      6.82043     0.32962     1.18005     1.90512
     241 Loop 326541      0.98010     2.29378     0.98010     2.29378
     242 Loop 326514      1.32007     1.70305     0.98010     2.29378
     243 Loop 326451      1.01605     2.21262     0.98010     2.29378
     244 Loop 326154      1.33209     1.68768     0.98010     2.29378
     245 Loop 326415      1.23608     1.81876     0.98010     2.29378
     246 Loop 326145      1.24408     1.80707     0.98010     2.29378
     247 Loop 356241      1.08008     2.08146     0.98010     2.29378
     248 Loop 356214      1.38409     1.62427     0.98010     2.29378
     249 Loop 346251      0.93604     2.40177     0.93604     2.40177
     250 Loop 316254      1.94409     1.15640     0.93604     2.40177
     251 Loop 346215      1.18005     1.90512     0.93604     2.40177
     252 Loop 316245      1.66412     1.35095     0.93604     2.40177
     253 Loop 356421      1.07611     2.08913     0.93604     2.40177
     254 Loop 356124      1.49213     1.50667     0.93604     2.40177
     255 Loop 346521      0.96808     2.32227     0.93604     2.40177
     256 Loop 316524      1.99213     1.12851     0.93604     2.40177
     257 Loop 346125      1.32812     1.69272     0.93604     2.40177
     258 Loop 316425      1.68011     1.33809     0.93604     2.40177
     259 Loop 356412      1.36804     1.64333     0.93604     2.40177
     260 Loop 356142      1.44806     1.55252     0.93604     2.40177
     261 Loop 346512      1.28406     1.75081     0.93604     2.40177
     262 Loop 316542      1.74011     1.29195     0.93604     2.40177
     263 Loop 346152      1.36005     1.65299     0.93604     2.40177
     264 Loop 316452      1.77612     1.26576     0.93604     2.40177
     265 Loop 236541      0.98010     2.29378     0.93604     2.40177
     266 Loop 236514      1.32007     1.70305     0.93604     2.40177
     267 Loop 236451      1.01208     2.22130     0.93604     2.40177
     268 Loop 236154      1.33209     1.68768     0.93604     2.40177
     269 Loop 236415      1.22009     1.84260     0.93604     2.40177
     270 Loop 236145      1.22003     1.84269     0.93604     2.40177
     271 Loop 536241      1.22803     1.83069     0.93604     2.40177
     272 Loop 536214      1.64807     1.36410     0.93604     2.40177
     273 Loop 436251      1.52008     1.47896     0.93604     2.40177
     274 Loop 136254      6.10437     0.36828     0.93604     2.40177
     275 Loop 436215      1.46008     1.53973     0.93604     2.40177
     276 Loop 136245      5.30829     0.42352     0.93604     2.40177
